17:19:18 | RunETL               | INFO     | Запуск ETL процесса...
17:19:18 | RunETL               | INFO     | Конфигурация: {'violations_mode': 'post_event'}
17:19:18 | DtpPipeline          | INFO     | ================================================================================
17:19:18 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: amurskaia-oblast.geojson.zip =====
17:19:18 | DtpPipeline          | INFO     | ================================================================================
17:19:18 | JsonDataLoader       | INFO     | Загрузка: data/need_process\amurskaia-oblast.geojson.zip
17:19:18 | JsonDataLoader       | INFO     | Чтение из архива: amurskaia-oblast.geojson
17:19:19 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:19 | JsonDataLoader       | INFO     | Загружено строк: 12404. Колонок: 24
17:19:19 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:19 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:19 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:19 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:19 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:19 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:19 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:19 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.10 сек.
17:19:19 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
17:19:19 | TagsProcessor        | INFO     |    [i] Строк с тегами 'other': 6.34% (786/12404)
17:19:19 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'кладбище', 'иной_объект']
17:19:19 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.25 сек.
17:19:19 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:19 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:20 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:20 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:20 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:20 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:20 | CategoryProcessor    | WARNING  | Колонка 'category': 1 новых значений вне Whitelist → заменены на 'иной_вид_дтп'. Примеры: [возгорание_вследствие_технической_неисправности_движущегося_или_остановившегося_тс_участвующего_в_дорожном_движении]. Затронуто 1 строк (0.01%).
17:19:20 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 4863, 'наезд_на_пешехода': 2918, 'съезд_с_дороги': 1318}
